regime,mode,model,sigma,H_global_boot_median,H_global_boot_lo95,H_global_boot_hi95
FixedMean,x,gru,0.05,0.5545717533998457,0.5545717533998457,0.5545717533998457
FixedMean,x,gru,0.1,0.5443011459564102,0.5443011459564102,0.5443011459564102
FixedMean,x,gru,0.5,0.5891782396330884,0.5891782396330884,0.5891782396330884
FixedMean,x,gru,1.0,0.5495593880757644,0.5495593880757644,0.5495593880757644
FixedMean,x,lstm,0.05,0.8717395906244484,0.8717395906244484,0.8717395906244484
FixedMean,x,lstm,0.1,0.7937822366699661,0.7937822366699661,0.7937822366699661
FixedMean,x,lstm,0.5,0.7448218039033588,0.7448218039033588,0.7448218039033588
FixedMean,x,lstm,1.0,0.5402997825313238,0.5402997825313238,0.5402997825313238
FixedMean,x,mlp,0.05,1.1439382852163469,1.1439382852163469,1.1439382852163469
FixedMean,x,mlp,0.1,0.9472789289161806,0.9472789289161806,0.9472789289161806
FixedMean,x,mlp,0.5,0.6654214036099243,0.6654214036099243,0.6654214036099243
FixedMean,x,mlp,1.0,1.1451821765028494,1.1451821765028494,1.1451821765028494
FixedMean,x2,gru,0.05,0.9633807969453224,0.9633807969453224,0.9633807969453224
FixedMean,x2,gru,0.1,1.0096724443555385,1.0096724443555385,1.0096724443555385
FixedMean,x2,gru,0.5,1.0548405268883645,1.0548405268883645,1.0548405268883645
FixedMean,x2,gru,1.0,0.9214538482938902,0.9214538482938902,0.9214538482938902
FixedMean,x2,lstm,0.05,1.022481219324061,1.022481219324061,1.022481219324061
FixedMean,x2,lstm,0.1,0.9015051138894052,0.9015051138894052,0.9015051138894052
FixedMean,x2,lstm,0.5,0.9937953376262014,0.9937953376262014,0.9937953376262014
FixedMean,x2,lstm,1.0,1.061391403151457,1.061391403151457,1.061391403151457
FixedMean,x2,mlp,0.05,0.9105885873626424,0.9105885873626424,0.9105885873626424
FixedMean,x2,mlp,0.1,0.9611157000105734,0.9611157000105734,0.9611157000105734
FixedMean,x2,mlp,0.5,0.9073954181982936,0.9073954181982936,0.9073954181982936
FixedMean,x2,mlp,1.0,0.9570325186566152,0.9570325186566152,0.9570325186566152
FixedMean,xy,gru,0.05,0.9937349951399858,0.9937349951399858,0.9937349951399858
FixedMean,xy,gru,0.1,0.9689125720753992,0.9689125720753992,0.9689125720753992
FixedMean,xy,gru,0.5,1.0732104541763152,1.0732104541763152,1.0732104541763152
FixedMean,xy,gru,1.0,0.8057444516307508,0.8057444516307508,0.8057444516307508
FixedMean,xy,lstm,0.05,0.6920083075811441,0.6920083075811441,0.6920083075811441
FixedMean,xy,lstm,0.1,0.955866674670386,0.955866674670386,0.955866674670386
FixedMean,xy,lstm,0.5,0.7480297687394308,0.7480297687394308,0.7480297687394308
FixedMean,xy,lstm,1.0,0.8009605803086441,0.8009605803086441,0.8009605803086441
FixedMean,xy,mlp,0.05,0.8680099074630593,0.8680099074630593,0.8680099074630593
FixedMean,xy,mlp,0.1,0.5644925922038654,0.5644925922038654,0.5644925922038654
FixedMean,xy,mlp,0.5,0.9003593003200774,0.9003593003200774,0.9003593003200774
FixedMean,xy,mlp,1.0,1.2307095182793908,1.2307095182793908,1.2307095182793908
Resample,x,gru,0.05,0.2150356039221889,0.2150356039221889,0.2150356039221889
Resample,x,gru,0.1,0.217479976069663,0.217479976069663,0.217479976069663
Resample,x,gru,0.5,0.2164979332791581,0.2164979332791581,0.2164979332791581
Resample,x,gru,1.0,0.2177225552266852,0.2177225552266852,0.2177225552266852
Resample,x,lstm,0.05,0.2166605056167115,0.2166605056167115,0.2166605056167115
Resample,x,lstm,0.1,0.2161234679807827,0.2161234679807827,0.2161234679807827
Resample,x,lstm,0.5,0.2162431961871841,0.2162431961871841,0.2162431961871841
Resample,x,lstm,1.0,0.2154575214853411,0.2154575214853411,0.2154575214853411
Resample,x,mlp,0.05,0.2141340538490753,0.2141340538490753,0.2141340538490753
Resample,x,mlp,0.1,0.2165293811509894,0.2165293811509894,0.2165293811509894
Resample,x,mlp,0.5,0.2154026836136534,0.2154026836136534,0.2154026836136534
Resample,x,mlp,1.0,0.2169208037197216,0.2169208037197216,0.2169208037197216
Resample,x2,gru,0.05,0.3415280589257389,0.3415280589257389,0.3415280589257389
Resample,x2,gru,0.1,0.3781050943201394,0.3781050943201394,0.3781050943201394
Resample,x2,gru,0.5,0.322278830538158,0.322278830538158,0.322278830538158
Resample,x2,gru,1.0,0.3785351368570717,0.3785351368570717,0.3785351368570717
Resample,x2,lstm,0.05,0.3338658119286655,0.3338658119286655,0.3338658119286655
Resample,x2,lstm,0.1,0.3856008953241322,0.3856008953241322,0.3856008953241322
Resample,x2,lstm,0.5,0.38028707448067,0.38028707448067,0.38028707448067
Resample,x2,lstm,1.0,0.3868453409367234,0.3868453409367234,0.3868453409367234
Resample,x2,mlp,0.05,0.3313883687842827,0.3313883687842827,0.3313883687842827
Resample,x2,mlp,0.1,0.2757741733010657,0.2757741733010657,0.2757741733010657
Resample,x2,mlp,0.5,0.3547560390839493,0.3547560390839493,0.3547560390839493
Resample,x2,mlp,1.0,0.2750213537300394,0.2750213537300394,0.2750213537300394
Resample,xy,gru,0.05,0.207409938026201,0.207409938026201,0.207409938026201
Resample,xy,gru,0.1,0.2098311215103032,0.2098311215103032,0.2098311215103032
Resample,xy,gru,0.5,0.2101560752274701,0.2101560752274701,0.2101560752274701
Resample,xy,gru,1.0,0.210225810882463,0.210225810882463,0.210225810882463
Resample,xy,lstm,0.05,0.2097600112504292,0.2097600112504292,0.2097600112504292
Resample,xy,lstm,0.1,0.2109793695843774,0.2109793695843774,0.2109793695843774
Resample,xy,lstm,0.5,0.2100139548264568,0.2100139548264568,0.2100139548264568
Resample,xy,lstm,1.0,0.2109822283184074,0.2109822283184074,0.2109822283184074
Resample,xy,mlp,0.05,0.2099500051810117,0.2099500051810117,0.2099500051810117
Resample,xy,mlp,0.1,0.2115448028063422,0.2115448028063422,0.2115448028063422
Resample,xy,mlp,0.5,0.2088277662444521,0.2088277662444521,0.2088277662444521
Resample,xy,mlp,1.0,0.2104778746528707,0.2104778746528707,0.2104778746528707
