regime,mode,model,sigma,lobe_frac_truth,lobe_frac_analysis,lobe_abs_diff
Baseline,x,baseline,0.05,0.4888888888888889,0.5777777777777777,0.08888888888888885
Baseline,x,baseline,0.1,0.4888888888888889,0.6,0.1111111111111111
Baseline,x,baseline,0.5,0.4888888888888889,0.6,0.1111111111111111
Baseline,x,baseline,1.0,0.4888888888888889,0.5555555555555556,0.06666666666666671
Baseline,x2,baseline,0.05,0.4888888888888889,0.044444444444444446,0.4444444444444444
Baseline,x2,baseline,0.1,0.4888888888888889,0.06666666666666667,0.4222222222222222
Baseline,x2,baseline,0.5,0.4888888888888889,0.022222222222222223,0.4666666666666667
Baseline,x2,baseline,1.0,0.4888888888888889,0.044444444444444446,0.4444444444444444
Baseline,xy,baseline,0.05,0.4888888888888889,0.7111111111111111,0.22222222222222227
Baseline,xy,baseline,0.1,0.4888888888888889,0.7111111111111111,0.22222222222222227
Baseline,xy,baseline,0.5,0.4888888888888889,0.7555555555555555,0.26666666666666666
Baseline,xy,baseline,1.0,0.4888888888888889,0.7777777777777778,0.2888888888888889
FixedMean,x,gru,0.05,0.6086956521739131,0.7608695652173914,0.15217391304347827
FixedMean,x,gru,0.1,0.6086956521739131,0.7391304347826086,0.13043478260869557
FixedMean,x,gru,0.5,0.6086956521739131,0.7391304347826086,0.13043478260869557
FixedMean,x,gru,1.0,0.6086956521739131,0.7391304347826086,0.13043478260869557
FixedMean,x,lstm,0.05,0.6086956521739131,0.7391304347826086,0.13043478260869557
FixedMean,x,lstm,0.1,0.6086956521739131,0.7391304347826086,0.13043478260869557
FixedMean,x,lstm,0.5,0.6086956521739131,0.6086956521739131,0.0
FixedMean,x,lstm,1.0,0.6086956521739131,0.6086956521739131,0.0
FixedMean,x,mlp,0.05,0.6086956521739131,0.717391304347826,0.10869565217391297
FixedMean,x,mlp,0.1,0.6086956521739131,0.7391304347826086,0.13043478260869557
FixedMean,x,mlp,0.5,0.6086956521739131,0.717391304347826,0.10869565217391297
FixedMean,x,mlp,1.0,0.6086956521739131,0.7608695652173914,0.15217391304347827
FixedMean,x2,gru,0.05,0.6086956521739131,0.782608695652174,0.17391304347826086
FixedMean,x2,gru,0.1,0.6086956521739131,0.7608695652173914,0.15217391304347827
FixedMean,x2,gru,0.5,0.6086956521739131,0.782608695652174,0.17391304347826086
FixedMean,x2,gru,1.0,0.6086956521739131,0.7608695652173914,0.15217391304347827
FixedMean,x2,lstm,0.05,0.6086956521739131,0.7608695652173914,0.15217391304347827
FixedMean,x2,lstm,0.1,0.6086956521739131,0.7608695652173914,0.15217391304347827
FixedMean,x2,lstm,0.5,0.6086956521739131,0.7608695652173914,0.15217391304347827
FixedMean,x2,lstm,1.0,0.6086956521739131,0.7391304347826086,0.13043478260869557
FixedMean,x2,mlp,0.05,0.6086956521739131,0.7391304347826086,0.13043478260869557
FixedMean,x2,mlp,0.1,0.6086956521739131,0.7391304347826086,0.13043478260869557
FixedMean,x2,mlp,0.5,0.6086956521739131,0.7391304347826086,0.13043478260869557
FixedMean,x2,mlp,1.0,0.6086956521739131,0.7608695652173914,0.15217391304347827
FixedMean,xy,gru,0.05,0.6086956521739131,0.8043478260869565,0.19565217391304346
FixedMean,xy,gru,0.1,0.6086956521739131,0.8043478260869565,0.19565217391304346
FixedMean,xy,gru,0.5,0.6086956521739131,0.8260869565217391,0.21739130434782605
FixedMean,xy,gru,1.0,0.6086956521739131,0.8043478260869565,0.19565217391304346
FixedMean,xy,lstm,0.05,0.6086956521739131,0.8043478260869565,0.19565217391304346
FixedMean,xy,lstm,0.1,0.6086956521739131,0.8260869565217391,0.21739130434782605
FixedMean,xy,lstm,0.5,0.6086956521739131,0.8260869565217391,0.21739130434782605
FixedMean,xy,lstm,1.0,0.6086956521739131,0.8043478260869565,0.19565217391304346
FixedMean,xy,mlp,0.05,0.6086956521739131,0.782608695652174,0.17391304347826086
FixedMean,xy,mlp,0.1,0.6086956521739131,0.6956521739130435,0.08695652173913038
FixedMean,xy,mlp,0.5,0.6086956521739131,0.8043478260869565,0.19565217391304346
FixedMean,xy,mlp,1.0,0.6086956521739131,0.8043478260869565,0.19565217391304346
Resample,x,gru,0.05,0.6086956521739131,0.6086956521739131,0.0
Resample,x,gru,0.1,0.6086956521739131,0.6304347826086957,0.021739130434782594
Resample,x,gru,0.5,0.6086956521739131,0.6086956521739131,0.0
Resample,x,gru,1.0,0.6086956521739131,0.6304347826086957,0.021739130434782594
Resample,x,lstm,0.05,0.6086956521739131,0.6086956521739131,0.0
Resample,x,lstm,0.1,0.6086956521739131,0.6086956521739131,0.0
Resample,x,lstm,0.5,0.6086956521739131,0.6086956521739131,0.0
Resample,x,lstm,1.0,0.6086956521739131,0.6304347826086957,0.021739130434782594
Resample,x,mlp,0.05,0.6086956521739131,0.6086956521739131,0.0
Resample,x,mlp,0.1,0.6086956521739131,0.6086956521739131,0.0
Resample,x,mlp,0.5,0.6086956521739131,0.5869565217391305,0.021739130434782594
Resample,x,mlp,1.0,0.6086956521739131,0.5869565217391305,0.021739130434782594
Resample,x2,gru,0.05,0.6086956521739131,0.0,0.6086956521739131
Resample,x2,gru,0.1,0.6086956521739131,1.0,0.3913043478260869
Resample,x2,gru,0.5,0.6086956521739131,0.08695652173913043,0.5217391304347827
Resample,x2,gru,1.0,0.6086956521739131,1.0,0.3913043478260869
Resample,x2,lstm,0.05,0.6086956521739131,0.0,0.6086956521739131
Resample,x2,lstm,0.1,0.6086956521739131,1.0,0.3913043478260869
Resample,x2,lstm,0.5,0.6086956521739131,1.0,0.3913043478260869
Resample,x2,lstm,1.0,0.6086956521739131,1.0,0.3913043478260869
Resample,x2,mlp,0.05,0.6086956521739131,0.0,0.6086956521739131
Resample,x2,mlp,0.1,0.6086956521739131,0.0,0.6086956521739131
Resample,x2,mlp,0.5,0.6086956521739131,1.0,0.3913043478260869
Resample,x2,mlp,1.0,0.6086956521739131,0.0,0.6086956521739131
Resample,xy,gru,0.05,0.6086956521739131,0.6086956521739131,0.0
Resample,xy,gru,0.1,0.6086956521739131,0.6086956521739131,0.0
Resample,xy,gru,0.5,0.6086956521739131,0.6086956521739131,0.0
Resample,xy,gru,1.0,0.6086956521739131,0.6304347826086957,0.021739130434782594
Resample,xy,lstm,0.05,0.6086956521739131,0.6086956521739131,0.0
Resample,xy,lstm,0.1,0.6086956521739131,0.6086956521739131,0.0
Resample,xy,lstm,0.5,0.6086956521739131,0.6086956521739131,0.0
Resample,xy,lstm,1.0,0.6086956521739131,0.6086956521739131,0.0
Resample,xy,mlp,0.05,0.6086956521739131,0.6086956521739131,0.0
Resample,xy,mlp,0.1,0.6086956521739131,0.6086956521739131,0.0
Resample,xy,mlp,0.5,0.6086956521739131,0.6086956521739131,0.0
Resample,xy,mlp,1.0,0.6086956521739131,0.6304347826086957,0.021739130434782594
