regime,mode,model,sigma,n_points,hausdorff_local,diameter_local,H_norm_global,H_norm_local,poincare_hits_truth,poincare_hits_analysis,lyap_proxy_truth,lyap_proxy_analysis
Baseline,x,baseline,0.05,45,39.94133793958456,36.41513221925313,0.624885018984655,1.0968335278614498,1,1,-0.024691324592805604,-0.011362966922589124
Baseline,x,baseline,0.1,45,40.005143935763904,36.41513221925313,0.625883268246965,1.0985857114261057,1,1,-0.024691324592805604,-0.008561433959698323
Baseline,x,baseline,0.5,45,41.23673371840072,36.41513221925313,0.6451515763308959,1.1324065355610147,1,1,-0.024691324592805604,-0.005480498435743861
Baseline,x,baseline,1.0,45,40.48762659239021,36.41513221925313,0.633431743075268,1.1118352213749179,1,2,-0.024691324592805604,-0.006437058970626619
Baseline,x2,baseline,0.05,45,41.082442033904805,36.41513221925313,0.6427376721612048,1.12816951443565,1,1,-0.024691324592805604,0.00417482092760612
Baseline,x2,baseline,0.1,45,40.846541353990084,36.41513221925313,0.6390469895638923,1.1216914196014922,1,1,-0.024691324592805604,0.003533855773881581
Baseline,x2,baseline,0.5,45,40.33172294747682,36.41513221925313,0.6309926196723704,1.1075539340250682,1,1,-0.024691324592805604,0.0024179837252939836
Baseline,x2,baseline,1.0,45,40.977142177449025,36.41513221925313,0.6410902485596224,1.125277863354397,1,1,-0.024691324592805604,0.0025808547757202862
Baseline,xy,baseline,0.05,45,40.071292658534865,36.41513221925313,0.6269181696302654,1.1004022288665116,1,1,-0.024691324592805604,0.004892600422948402
Baseline,xy,baseline,0.1,45,40.22543520358317,36.41513221925313,0.6293297405028923,1.1046351544569013,1,1,-0.024691324592805604,0.009488647430153544
Baseline,xy,baseline,0.5,45,40.36921402388904,36.41513221925313,0.6315791701787917,1.1085834806483372,1,1,-0.024691324592805604,0.008105204549859793
Baseline,xy,baseline,1.0,45,41.05158828461914,36.41513221925313,0.6422549631008002,1.127322236191543,1,1,-0.024691324592805604,0.005106034203480366
FixedMean,x,gru,0.05,46,35.447061685495655,41.898307039707795,0.5545717533998457,0.8460261091671752,1,1,-0.016799550885555944,-1.5616909501179092e-05
FixedMean,x,gru,0.1,46,34.790586029526786,41.898307039707795,0.5443011459564102,0.8303577993391262,1,1,-0.016799550885555944,0.014272547473960418
FixedMean,x,gru,0.5,46,37.65903559997586,41.898307039707795,0.5891782396330884,0.8988199824944167,1,1,-0.016799550885555944,-0.0292468657656801
FixedMean,x,gru,1.0,46,35.126681821675135,41.898307039707795,0.5495593880757644,0.8383795027418395,1,1,-0.016799550885555944,0.03194352293176265
FixedMean,x,lstm,0.05,46,55.71976367911808,41.898307039707795,0.8717395906244484,1.3298810289950722,1,1,-0.016799550885555944,0.03563371905933513
FixedMean,x,lstm,0.1,46,50.73689335165989,41.898307039707795,0.7937822366699661,1.2109533042367464,1,1,-0.016799550885555944,0.037038136969515474
FixedMean,x,lstm,0.5,46,47.60744532300201,41.898307039707795,0.7448218039033588,1.1362617892384903,1,1,-0.016799550885555944,0.0009367889583092599
FixedMean,x,lstm,1.0,46,34.53482728363758,41.898307039707795,0.5402997825313238,0.8242535253490861,1,1,-0.016799550885555944,0.0025396429238920912
FixedMean,x,mlp,0.05,46,73.11813252635677,41.898307039707795,1.1439382852163469,1.7451333405204505,1,1,-0.016799550885555944,0.03130820170251666
FixedMean,x,mlp,0.1,46,60.548079524079576,41.898307039707795,0.9472789289161806,1.4451199535746646,1,1,-0.016799550885555944,0.021466392093038515
FixedMean,x,mlp,0.5,46,42.53233850445267,41.898307039707795,0.6654214036099243,1.0151326272955132,1,1,-0.016799550885555944,0.00620442529243704
FixedMean,x,mlp,1.0,46,73.1976394447896,41.898307039707795,1.1451821765028494,1.747030957012627,1,1,-0.016799550885555944,0.023606588985314897
FixedMean,x2,gru,0.05,46,61.57727710902975,41.898307039707795,0.9633807969453225,1.469684134269956,1,1,-0.016799550885555944,0.019398760170691
FixedMean,x2,gru,0.1,46,64.53614198307618,41.898307039707795,1.0096724443555385,1.5403042877583117,1,1,-0.016799550885555944,0.018795217307599765
FixedMean,x2,gru,0.5,46,67.42319095003333,41.898307039707795,1.0548405268883645,1.6092103885279931,1,1,-0.016799550885555944,0.021477916054691838
FixedMean,x2,gru,1.0,46,58.89739461227303,41.898307039707795,0.9214538482938902,1.4057225404466793,1,1,-0.016799550885555944,0.02569387290641693
FixedMean,x2,lstm,0.05,46,65.354851976222,41.898307039707795,1.022481219324061,1.5598446952590233,1,1,-0.016799550885555944,0.017642739566799424
FixedMean,x2,lstm,0.1,46,57.622313408356185,41.898307039707795,0.9015051138894051,1.3752897785045697,1,1,-0.016799550885555944,0.030006678178653694
FixedMean,x2,lstm,0.5,46,63.521310668333335,41.898307039707795,0.9937953376262014,1.5160829913278602,1,1,-0.016799550885555944,0.02393818824996266
FixedMean,x2,lstm,1.0,46,67.84190920167221,41.898307039707795,1.061391403151457,1.6192040680158553,1,1,-0.016799550885555944,0.023540557875443572
FixedMean,x2,mlp,0.05,46,58.20290995434047,41.898307039707795,0.9105885873626423,1.389147057879463,1,1,-0.016799550885555944,0.013581760922883912
FixedMean,x2,mlp,0.1,46,61.43249687044485,41.898307039707795,0.9611157000105734,1.4662286190280707,1,1,-0.016799550885555944,0.0003198010076757728
FixedMean,x2,mlp,0.5,46,57.99880928811112,41.898307039707795,0.9073954181982936,1.3842757234354262,1,1,-0.016799550885555944,0.013567276497957598
FixedMean,x2,mlp,1.0,46,61.171508494388,41.898307039707795,0.9570325186566152,1.4599995278189795,1,1,-0.016799550885555944,0.004559257403222859
FixedMean,xy,gru,0.05,46,63.51745370335445,41.898307039707795,0.9937349951399858,1.515990935938242,1,1,-0.016799550885555944,0.0210751703040599
FixedMean,xy,gru,0.1,46,61.93085655670988,41.898307039707795,0.9689125720753992,1.4781231255481724,1,1,-0.016799550885555944,0.018241844859492255
FixedMean,xy,gru,0.5,46,68.5973581191004,41.898307039707795,1.0732104541763152,1.6372346036342096,1,1,-0.016799550885555944,0.020540884840168586
FixedMean,xy,gru,1.0,46,51.5014930071789,41.898307039707795,0.8057444516307508,1.2292022433834855,1,1,-0.016799550885555944,0.01668211645525689
FixedMean,xy,lstm,0.05,46,44.231717564631175,41.898307039707795,0.6920083075811441,1.0556922388943297,1,1,-0.016799550885555944,-0.005876436859893092
FixedMean,xy,lstm,0.1,46,61.096990195462425,41.898307039707795,0.955866674670386,1.4582209762690337,1,1,-0.016799550885555944,0.008363923958852762
FixedMean,xy,lstm,0.5,46,47.81249169749191,41.898307039707795,0.7480297687394308,1.141155695197401,1,1,-0.016799550885555944,-0.02048072542925144
FixedMean,xy,lstm,1.0,46,51.19571800004844,41.898307039707795,0.8009605803086441,1.2219042156412028,1,1,-0.016799550885555944,-0.04535419974031547
FixedMean,xy,mlp,0.05,46,55.48137016506221,41.898307039707795,0.8680099074630593,1.3241912164250813,1,1,-0.016799550885555944,0.014590391567229003
FixedMean,xy,mlp,0.1,46,36.08118086466776,41.898307039707795,0.5644925922038654,0.8611608299703604,1,1,-0.016799550885555944,0.014968285265065938
FixedMean,xy,mlp,0.5,46,57.54907541160817,41.898307039707795,0.9003593003200774,1.373541784327177,1,1,-0.016799550885555944,0.015309545826919265
FixedMean,xy,mlp,1.0,46,78.66436749425029,41.898307039707795,1.2307095182793908,1.877507065373754,1,1,-0.016799550885555944,0.02138145776431645
Resample,x,gru,0.05,46,13.744624153823274,41.898307039707795,0.21503560392218896,0.32804724402819524,1,1,-0.016799550885555944,-0.014629171749636129
Resample,x,gru,0.1,46,13.900863287465825,41.898307039707795,0.21747997606966307,0.33177625230278923,1,1,-0.016799550885555944,-0.013909047509357257
Resample,x,gru,0.5,46,13.838093174925085,41.898307039707795,0.21649793327915817,0.3302780983921491,1,1,-0.016799550885555944,-0.01387670290826685
Resample,x,gru,1.0,46,13.916368437682845,41.898307039707795,0.21772255522668527,0.3321463185730642,1,2,-0.016799550885555944,-0.01331053944675047
Resample,x,lstm,0.05,46,13.848484457283554,41.898307039707795,0.21666050561671152,0.33052611037861485,1,1,-0.016799550885555944,-0.011756764611012825
Resample,x,lstm,0.1,46,13.814158139559119,41.898307039707795,0.21612346798078275,0.3297068334161375,1,1,-0.016799550885555944,-0.014618551514231788
Resample,x,lstm,0.5,46,13.821810915041796,41.898307039707795,0.21624319618718413,0.3298894846023877,1,1,-0.016799550885555944,-0.014199034137708226
Resample,x,lstm,1.0,46,13.771592238287662,41.898307039707795,0.21545752148534117,0.32869089973578336,1,1,-0.016799550885555944,-0.012082662694144696
Resample,x,mlp,0.05,46,13.686998966715736,41.898307039707795,0.21413405384907536,0.3266718856622134,1,1,-0.016799550885555944,-0.014388489377671421
Resample,x,mlp,0.1,46,13.84010325684117,41.898307039707795,0.21652938115098944,0.33032607364599836,1,1,-0.016799550885555944,-0.01523719836707621
Resample,x,mlp,0.5,46,13.768087116707814,41.898307039707795,0.21540268361365347,0.32860724190262736,1,1,-0.016799550885555944,-0.013887909890103401
Resample,x,mlp,1.0,46,13.865122165312231,41.898307039707795,0.21692080371972167,0.3309232077604472,1,2,-0.016799550885555944,-0.012486288233594411
Resample,x2,gru,0.05,46,21.829756199897417,41.898307039707795,0.34152805892573895,0.5210176196190686,1,0,-0.016799550885555944,-0.014535998709952492
Resample,x2,gru,0.1,46,24.167683477926417,41.898307039707795,0.3781050943201394,0.5768176612726204,1,0,-0.016799550885555944,-0.01508885331261209
Resample,x2,gru,0.5,46,20.59938595137735,41.898307039707795,0.322278830538158,0.4916519880350997,1,1,-0.016799550885555944,-0.015466979224116516
Resample,x2,gru,1.0,46,24.195170893649586,41.898307039707795,0.37853513685707174,0.5774737120218097,1,0,-0.016799550885555944,-0.014766194560885834
Resample,x2,lstm,0.05,46,21.34000146520407,41.898307039707795,0.33386581192866555,0.5093284901697761,1,0,-0.016799550885555944,-0.014150072871774874
Resample,x2,lstm,0.1,46,24.646799334336006,41.898307039707795,0.3856008953241322,0.5882528692860497,1,0,-0.016799550885555944,-0.014074409077868147
Resample,x2,lstm,0.5,46,24.307151066877147,41.898307039707795,0.38028707448067,0.5801463778438783,1,0,-0.016799550885555944,-0.013558135413476563
Resample,x2,lstm,1.0,46,24.726341684128133,41.898307039707795,0.3868453409367234,0.5901513314295617,1,0,-0.016799550885555944,-0.013814886565418702
Resample,x2,mlp,0.05,46,21.181648502899606,41.898307039707795,0.3313883687842827,0.5055490304852979,1,0,-0.016799550885555944,-0.020471787063052846
Resample,x2,mlp,0.1,46,17.626905936591044,41.898307039707795,0.2757741733010657,0.4207068777238589,1,0,-0.016799550885555944,-0.01785528675259317
Resample,x2,mlp,0.5,46,22.6752609082927,41.898307039707795,0.35475603908394937,0.5411975449700852,1,0,-0.016799550885555944,-0.015009152944390139
Resample,x2,mlp,1.0,46,17.57878729079161,41.898307039707795,0.2750213537300394,0.41955841495294477,1,0,-0.016799550885555944,-0.018985468467150164
Resample,xy,gru,0.05,46,13.257207606278396,41.898307039707795,0.20740993802620108,0.3164139208229654,1,1,-0.016799550885555944,-0.010933121832072103
Resample,xy,gru,0.1,46,13.411964569262397,41.898307039707795,0.20983112151030325,0.32010755366682553,1,1,-0.016799550885555944,-0.013960608148001421
Resample,xy,gru,0.5,46,13.432734928348898,41.898307039707795,0.21015607522747012,0.3206032863241574,1,1,-0.016799550885555944,-0.011614444584453916
Resample,xy,gru,1.0,46,13.437192284947136,41.898307039707795,0.21022581088246306,0.32070967144835855,1,1,-0.016799550885555944,-0.013854089108213322
Resample,xy,lstm,0.05,46,13.407419350807304,41.898307039707795,0.20976001125042923,0.31999907151620344,1,1,-0.016799550885555944,-0.013557278400507019
Resample,xy,lstm,0.1,46,13.485358174440506,41.898307039707795,0.21097936958437746,0.3218592617992938,1,1,-0.016799550885555944,-0.011940281618314131
Resample,xy,lstm,0.5,46,13.423650890817953,41.898307039707795,0.21001395482645682,0.32038647475889925,1,1,-0.016799550885555944,-0.014889727703333322
Resample,xy,lstm,1.0,46,13.485540898715376,41.898307039707795,0.21098222831840746,0.3218636229367187,1,2,-0.016799550885555944,-0.012229713642262734
Resample,xy,mlp,0.05,46,13.419563363797403,41.898307039707795,0.20995000518101178,0.3202889164729123,1,1,-0.016799550885555944,-0.015001375602418716
Resample,xy,mlp,0.1,46,13.521499478383841,41.898307039707795,0.2115448028063422,0.32272185760558936,1,1,-0.016799550885555944,-0.012732231561835467
Resample,xy,mlp,0.5,46,13.34783220806107,41.898307039707795,0.20882776624445212,0.31857688654128874,1,2,-0.016799550885555944,-0.012010011296561913
Resample,xy,mlp,1.0,46,13.4533036717308,41.898307039707795,0.21047787465287077,0.3210942069564018,1,2,-0.016799550885555944,-0.01367081934164017
